GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hockeySchedule,by.bsuir.daniil.hockey_schedule.model,Match,122,76,29,9,0,5,22,10,3,10
hockeySchedule,by.bsuir.daniil.hockey_schedule.model,Team,100,56,24,6,0,4,16,10,2,9
hockeySchedule,by.bsuir.daniil.hockey_schedule.model,Arena,165,31,38,0,0,5,23,9,4,9
hockeySchedule,by.bsuir.daniil.hockey_schedule.counter,RequestCounter,23,0,0,0,7,0,4,0,4,0
hockeySchedule,by.bsuir.daniil.hockey_schedule,HockeyScheduleApplication,8,0,0,0,3,0,2,0,2,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto.team,TeamDTOWithMatch,135,21,30,0,1,3,20,6,5,6
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto.team,TeamDTO,101,14,22,0,1,2,16,4,5,4
hockeySchedule,by.bsuir.daniil.hockey_schedule.cache,CacheManager,13,0,2,0,3,0,3,0,2,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.aspect,LoggingAspect,53,0,0,0,19,0,9,0,9,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.aspect,CounterAspect,32,0,0,0,9,0,4,0,4,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto.arena,ArenaDTO,131,24,30,0,0,4,19,7,4,7
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto.arena,ArenaDTOWithMatch,177,19,38,0,4,1,27,5,8,5
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto.match,MatchDTOWithTeamAndArena,105,93,27,11,0,5,21,11,2,11
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto.match,MatchDTOWithArena,142,15,30,0,3,1,22,4,7,4
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto.match,MatchDTOWithTeam,157,0,30,0,4,0,26,0,11,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.service,MatchService,37,227,4,14,6,45,3,15,0,9
hockeySchedule,by.bsuir.daniil.hockey_schedule.service,ArenaService,34,274,10,30,6,58,9,22,0,11
hockeySchedule,by.bsuir.daniil.hockey_schedule.service,TeamService,0,318,1,11,0,55,1,19,0,14
hockeySchedule,by.bsuir.daniil.hockey_schedule.controllers,TeamController,82,0,2,0,13,0,9,0,8,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.controllers,ArenaController,82,0,4,0,14,0,9,0,7,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.controllers,MatchController,63,0,2,0,10,0,7,0,6,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.dto,ConvertDTOClasses,85,163,15,13,21,47,11,10,1,6
hockeySchedule,by.bsuir.daniil.hockey_schedule.swagger,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
hockeySchedule,by.bsuir.daniil.hockey_schedule.exception,ErrorMessage,27,0,0,0,1,0,5,0,5,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.exception,GlobalExceptionHandler,83,0,0,0,21,0,5,0,5,0
hockeySchedule,by.bsuir.daniil.hockey_schedule.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
